url,title,description
https://baike.baidu.com/item/百科分类达人团,百科分类达人团,百科分类达人团（原称百科分类小组）是百度百科官方组建的，出于对某一个或多个分类的兴趣爱好，有志于分享和完善相关知识、乐意结交同好，以编辑词条为主的兴趣团队。分类达人团最早见于2014年，第一个为官方承认的小组为地理组。随后多个小组在官方指导下完成组建。2017年12月，全新分类达人团制度发布，各小组相继完成登记和定级工作。截至2018年8月，有诗文社、花果山团队、流行文化小分队、地理组、点石成金小组、文画组、交通组、小太阳团队、教育与科学研究组、ACGN小组、体育组、历史组、军事组、百科伐木累、游戏俱乐部等15个小组，其中，高级小组9个，中级小组2个，初级小组3个，实习小组1个。
https://baike.baidu.com/item/Fate%2FZero/27485,Fate/Zero（虚渊玄著作的轻小说）,《Fate/Zero》（フェイト/ゼロ）是游戏及动漫作品《Fate/stay night》的前传小说。由日本作家虚渊玄著作，全4卷（文库版为6卷）。该作品亦改编成同名电视动画。Fate/Zero讲述的是第四次圣杯战争时的故事。早在2004年的时候，原著游戏外传《Fate/hollow ataraxia》制作时，就已同步制作的官方外传小说。“在眼花缭乱地踏进Fate的故事世界的时候，假如本书能够担当起领航人的职务，我作为著者将为此感到不胜幸福。”2011年1月虚渊玄在谈及创作灵感时说道。
https://baike.baidu.com/item/Saber/12006191,剑之骑士,《Fate》系列中对作为从者的英灵进行定位而使用的用语，正规七职阶之一，三骑士职阶之一。符合条件的英雄本身有与刀剑相关的事迹，或者传说中宝剑的持有者，最低限度是【以剑做武器】的英雄，亦被要求魔力以外的能力值皆为最高等级。职阶技能是【对魔力】和【骑乘】。另外，符合的英灵大多有着瞬间攻击力优秀的特长。
https://baike.baidu.com/item/%E4%BD%90%E4%BD%90%E6%9C%A8%E5%B0%8F%E6%AC%A1%E9%83%8E/8776700,佐佐木小次郎（《Fate》系列中的角色）,佐佐木小次郎，日本文字冒险游戏《Fate/stay night》及其衍生作品中的角色之一。所讲述的第五次圣杯战争中，由于被身为从者的Caster（美狄亚）违反“圣杯战争”规则强行召唤，以柳洞寺的山门为凭依使其召唤出存在本身就是例外的从者，作为Assassin（伪）而被召唤出来的日本民间著名的架空英灵——“传说中的剑豪”佐佐木小次郎，剑技非凡，仅凭剑技就达到魔法甚至是宝具领域的剑豪。
https://baike.baidu.com/item/Rider/19953466,Rider（Fate系列作品中的用语）,《Fate》系列中对作为从者的英灵进行定位而使用的用语，正规七职阶之一。具有与某个乘坐物(不只限于生物)有渊源的传说的英灵适合此职阶。有能力值比三骑士低的倾向，不过这能以传说中描述的坐骑的性能补救。职阶技能除了【对魔力】外，还拥有非常高等级的【骑乘】。
https://baike.baidu.com/item/%E6%9D%89%E7%94%B0%E6%99%BA%E5%92%8C/7536336,杉田智和,杉田智和，1980年10月11日出生于日本埼玉县，日本男性声优。所属事务所为Atomic Monkey，曾获得2009年第三届声优奖助演男声优赏。代表作有《银魂》坂田银时、《凉宫春日的忧郁》阿虚、《JOJO的奇妙冒险》乔瑟夫·乔斯达、《滑头鬼之孙》鸩、《荒川爆笑团》星、《男子高中生的日常》田畑秀则、《K》宗像礼司、《暗杀教室》乌间惟臣等。
https://baike.baidu.com/item/%E7%BD%97%E5%AE%BE%E6%B1%89/9674535,罗宾汉（《Fate》系列中的角色）,于TYPE-MOON游戏《Fate/EXTRA》第二战中首次登场的Servant，之后在续作及型月其他作品中继续登场。职阶为Archer，是继承了“罗宾汉”名号的无名英雄。
https://baike.baidu.com/item/%E6%88%90%E7%94%B0%E8%89%AF%E6%82%9F/10257475,成田良悟,成田良悟（なりた りょうご），男，1980年5月30日出生于日本东京都，毕业于日本大学文理学部地球系统科学专业的遥感研究室（中山研）。日本轻小说作家。于2002年的第9回电击小说大赏获得金奖后出道。代表作有《BACCANO！》，《无头骑士异闻录》。
https://baike.baidu.com/item/%E4%BC%A6%E6%88%88%E7%B1%B3%E5%B0%BC%E4%BA%9A%E5%BE%B7/22782328,伦戈米尼亚德,女神伦戈米尼亚德是TYPE-MOON旗下游戏《Fate/Grand Order》及其衍生作品的登场角色。
https://baike.baidu.com/item/%E7%90%A5%E7%8F%80ACE/16786471,琥珀ACE,琥珀ACE是TYPE-MOON创作的科幻魔幻类漫画。
https://baike.baidu.com/item/Archer/14681272,弓之骑士,《Fate》系列中对作为从者的英灵进行定位而使用的用语，正规七职阶之一，三骑士职阶之一。以远距离攻击为特长的职阶，条件并非能力值的高低，而是具有强力射击类型武器，或者与射击武器有关联的特殊能力。作为侦察兵的素质也很高，除拥有作为骑士的【对魔力】之外，还有【单独行动】的职阶技能。
