h_number,h_name,h_score,h_price,h_address,h_link
16,上海皇廷世际酒店,4.7,604,位于浦东张江，上海浦东新区唐安路588号,http://hotel.qunar.com//bnb.qunar.com/city/shanghai_city/dt-22763/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=1e0ff6a1-ae5d-480d-b563-7cab0c50427c&showMap=0&qptype=&QHFP=ZSS_A83505BA/
17,桔子酒店·精选(上海浦东机场店),4.7,403,位于浦东新区，上海浦东新区祝桥镇施湾六路566号3幢,http://hotel.qunar.com/city/shanghai_city/dt-58620/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=1e0ff6a1-ae5d-480d-b563-7cab0c50427c&showMap=0&qptype=&QHFP=ZSS_A83505BA/
18,全季上海虹桥北新泾酒店,4.8,423,位于虹桥地区，上海长宁区哈密路390号，百联西郊购物中心附近,http://hotel.qunar.com/city/shanghai_city/dt-5522/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=1e0ff6a1-ae5d-480d-b563-7cab0c50427c&showMap=0&qptype=&QHFP=ZSS_A83505BA/
19,上海国丰酒店,4.5,626,位于虹桥地区，上海普陀区大渡河路388号(国盛中心1号座)，中山公园地铁站1号口附近,http://hotel.qunar.com/city/shanghai_city/dt-7314/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=1e0ff6a1-ae5d-480d-b563-7cab0c50427c&showMap=0&qptype=&QHFP=ZSS_A83505BA/
20,上海新虹桥希尔顿花园酒店,4.5,359,位于青浦区，上海青浦区沪青平公路1915号,http://hotel.qunar.com/city/shanghai_city/dt-30676/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=1e0ff6a1-ae5d-480d-b563-7cab0c50427c&showMap=0&qptype=&QHFP=ZSS_A83505BA/
21,维也纳酒店(上海浦东机场店),4.7,301,位于浦东新区，上海浦东新区川南奉公路1226号11幢,http://hotel.qunar.com/city/shanghai_city/dt-19267/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=1e0ff6a1-ae5d-480d-b563-7cab0c50427c&showMap=0&qptype=&QHFP=ZSS_A83505BA/
22,上海浦东主题乐园万信酒店,4.8,605,位于迪士尼度假区周边，上海浦东新区川周公路7099号,http://hotel.qunar.com/city/shanghai_city/dt-24421/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=1e0ff6a1-ae5d-480d-b563-7cab0c50427c&showMap=0&qptype=&QHFP=ZSS_A83505BA/
23,桔子水晶酒店(上海国际旅游度假区川沙店),4.8,364,"位于迪士尼度假区周边，上海浦东新区妙境路1328号,近新国际博览中心、百联，川沙地铁站2号口附近",http://hotel.qunar.com//bnb.qunar.com/city/shanghai_city/dt-23196/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=1e0ff6a1-ae5d-480d-b563-7cab0c50427c&showMap=0&qptype=&QHFP=ZSS_A83505BA/
24,和颐至尊酒店上海徐汇店,4.6,409,位于漕河泾开发区，上海徐汇区漕宝路124号，上海师范大学徐汇校区附近,http://hotel.qunar.com/city/shanghai_city/dt-3153/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=1e0ff6a1-ae5d-480d-b563-7cab0c50427c&showMap=0&qptype=&QHFP=ZSS_A83505BA/
25,上海虹桥铭睿酒店,4.6,195,位于虹桥枢纽地区，上海闵行区华江路1338号,http://hotel.qunar.com/city/shanghai_city/dt-22516/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=1e0ff6a1-ae5d-480d-b563-7cab0c50427c&showMap=0&qptype=&QHFP=ZSS_A83505BA/
26,云和夜泊酒店(上海国际旅游度假区野生动物园店),5.0,670,位于浦东新区，上海浦东新区宣桥镇宣中路468号,http://hotel.qunar.com/city/shanghai_city/dt-26767/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=1e0ff6a1-ae5d-480d-b563-7cab0c50427c&showMap=0&qptype=&QHFP=ZSS_A83505BA/
27,上海兴荣温德姆酒店,4.4,534,位于北外滩地区，上海杨浦区宁国路25号，环球广场附近,http://hotel.qunar.com/city/shanghai_city/dt-7132/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=1e0ff6a1-ae5d-480d-b563-7cab0c50427c&showMap=0&qptype=&QHFP=ZSS_A83505BA/
28,桔子水晶酒店(上海国际旅游度假区野生动物园店),4.9,384,位于惠南，上海浦东新区惠南镇沪南公路9408号,http://hotel.qunar.com/city/shanghai_city/dt-26369/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=1e0ff6a1-ae5d-480d-b563-7cab0c50427c&showMap=0&qptype=&QHFP=ZSS_A83505BA/
29,上海万信R酒店,4.6,369,位于金桥，上海浦东新区崮山路688号，上海交通大学医学院附属仁…,http://hotel.qunar.com/city/shanghai_city/dt-2049/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=1e0ff6a1-ae5d-480d-b563-7cab0c50427c&showMap=0&qptype=&QHFP=ZSS_A83505BA/
30,上海海上铂悦酒店,4.6,386,位于浦东新区，上海浦东新区祝桥镇晨阳路815号,http://hotel.qunar.com/city/shanghai_city/dt-33725/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=1e0ff6a1-ae5d-480d-b563-7cab0c50427c&showMap=0&qptype=&QHFP=ZSS_A83505BA/
1,云和夜泊酒店(上海国际旅游度假区浦东机场店),5.0,631,位于浦东新区，上海浦东新区秋亭路128弄,http://hotel.qunar.com/city/shanghai_city/dt-56289/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=95137603-fc4d-4824-9474-a8e0be925808&showMap=0&qptype=&QHFP=ZSS_A83506DF/
2,上海丽元LOFT酒店,4.6,349,位于松江大学城，上海松江区新松江路1292弄79号(近松江大学城校区)，靠近上海视觉艺术学院南门,http://hotel.qunar.com/city/shanghai_city/dt-24381/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=95137603-fc4d-4824-9474-a8e0be925808&showMap=0&qptype=&QHFP=ZSS_A83506DF/
3,全季酒店(上海火车站天目西路店),4.6,366,位于静安区，上海静安区长安路1001号长安大厦，靠近上海火车站南广场,http://hotel.qunar.com/city/shanghai_city/dt-17431/?tag=shanghai_city#fromDate=2019-04-13&toDate=2019-04-14&q=&from=qunarHotel&fromFocusList=0&filterid=95137603-fc4d-4824-9474-a8e0be925808&showMap=0&qptype=&QHFP=ZSS_A83506DF/
