h_number,h_name,h_score,h_price,h_address,h_link
1-17,临空智选假日酒店(成都双流国际机场店),4.8,353,位于东升，成都双流区北郊路39号，棠湖公园附近,http://hotel.qunar.com/city/chengdu/dt-25069/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=84c84239-0486-477d-a07f-df7907b6ba07&showMap=0&qptype=&QHFP=ZSS_A10015D4/
1-18,成都梵泊国际公寓,5.0,189,位于建设路，成都成华区二环路北四段3号永立龙寓7幢1907，北门汽车站附近,http://hotel.qunar.com/city/chengdu/dt-51779/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=84c84239-0486-477d-a07f-df7907b6ba07&showMap=0&qptype=&QHFP=ZSS_A10015D4/
1-19,成都环球中心木莲庄酒店,4.8,451,位于高新区，成都武侯区交子大道500号，成都市第一人民医院附近,http://hotel.qunar.com/city/chengdu/dt-18405/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=84c84239-0486-477d-a07f-df7907b6ba07&showMap=0&qptype=&QHFP=ZSS_A10015D4/
1-20,成都濠璟酒店,4.5,289,位于一品天下，成都青羊区蜀源路2号附1号，金沙遗址博物馆附近,http://hotel.qunar.com/city/chengdu/dt-5532/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=84c84239-0486-477d-a07f-df7907b6ba07&showMap=0&qptype=&QHFP=ZSS_A10015D4/
1-21,成都科华明宇豪雅饭店,4.8,828,位于高新区，成都武侯区科华南路339号，四川投资大厦附近,http://hotel.qunar.com/city/chengdu/dt-10474/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=84c84239-0486-477d-a07f-df7907b6ba07&showMap=0&qptype=&QHFP=ZSS_A10015D4/
1-22,成都费尔顿凯莱大酒店,4.9,418,位于温江大学城，成都温江区文化路111号，温江区政府附近,http://hotel.qunar.com/city/chengdu/dt-7351/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=84c84239-0486-477d-a07f-df7907b6ba07&showMap=0&qptype=&QHFP=ZSS_A10015D4/
1-23,成都背包十年青年旅舍,4.9,54,位于骡马市，成都青羊区三多里82号1栋，靠近冠城广场,http://hotel.qunar.com/city/chengdu/dt-44571/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=84c84239-0486-477d-a07f-df7907b6ba07&showMap=0&qptype=&QHFP=ZSS_A10015D4/
1-24,成都霏斯顿轻奢服务公寓,5.0,180,位于高新区，成都武侯区交子大道998号润富国际998公寓楼8幢2号门，成都市第一人民医院附近,http://hotel.qunar.com/city/chengdu/dt-51573/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=84c84239-0486-477d-a07f-df7907b6ba07&showMap=0&qptype=&QHFP=ZSS_A10015D4/
1-25,成都棕榈泉费尔蒙酒店,4.7,947,位于高新区，成都高新区天府大道中段269号，新希望国际附近,http://hotel.qunar.com/city/chengdu/dt-15736/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=84c84239-0486-477d-a07f-df7907b6ba07&showMap=0&qptype=&QHFP=ZSS_A10015D4/
1-26,尚品汇酒店(成都火车东站四川师范大学地铁站店),4.5,246,位于锦江区，成都锦江区菱安路111号，靠近四川师范大学北门,http://hotel.qunar.com/city/chengdu/dt-16724/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=84c84239-0486-477d-a07f-df7907b6ba07&showMap=0&qptype=&QHFP=ZSS_A10015D4/
1-27,成都首座万豪酒店,4.6,765,位于高新区，成都武侯区高新区天府大道北段999号，靠近九方购物中心,http://hotel.qunar.com/city/chengdu/dt-15590/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=84c84239-0486-477d-a07f-df7907b6ba07&showMap=0&qptype=&QHFP=ZSS_A10015D4/
1-28,全季酒店成都武侯祠永丰路店,4.8,273,位于玉林，成都武侯区永丰路14号，华西医院附近,http://hotel.qunar.com/city/chengdu/dt-49574/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=84c84239-0486-477d-a07f-df7907b6ba07&showMap=0&qptype=&QHFP=ZSS_A10015D4/
1-29,成都保利公园皇冠假日酒店,4.7,529,位于大熊猫繁育研究基地，成都新都区蜀龙大道1980号保利公园198,http://hotel.qunar.com/city/chengdu/dt-4194/?tag=chengdu#fromDate=2019-04-14&toDate=2019-04-15&q=&from=qunarHotel&fromFocusList=0&filterid=84c84239-0486-477d-a07f-df7907b6ba07&showMap=0&qptype=&QHFP=ZSS_A10015D4/
