movieId,movieTitle,RatingFinal,Usercount,AttitudeCount,TotalBoxOffice(Unit:万),EndDate
228592,源·彩虹,-1,5,60,,
144750,狄仁杰之神都龙王,7.2,13296,1574,60199.99999999999,2016-02-23 17:44
244278,王者少年,-1,6,38,,
17493,哥斯拉：最终战役,6.7,84,55,,
232758,狄仁杰之四大天王,6.9,2819,4363,60599.99999999999,2019-04-09 19:10
236122,龙之战,5.6,195,206,6535.1,2019-04-09 15:54
15646,哥斯拉：大怪兽总攻击,7.7,30,11,,
247293,神探蒲松龄,5.5,648,959,15200.0,2019-04-09 15:54
13176,龙之战,4.7,3838,1778,3100.0,2016-02-23 17:44
230741,敦刻尔克,8.1,6870,11187,34000.0,2019-04-09 15:54
208325,西游伏妖篇,6.5,20081,2894,165700.0,2019-01-27 09:54
93125,大兵小将,7,17022,3721,16200.000000000002,2016-02-23 17:44
142267,龙之寿,4.4,71,21,,
14599,龙之心,7.3,150,48,,
