movieId,movieTitle,RatingFinal,Usercount,AttitudeCount,Ranking,RankChanging
128969,阿凡达2,-1,477,1633,,
218090,复仇者联盟4：终局之战,-1,362,9807,1,0
231946,刺猬索尼克,-1,1,17,40,6
222095,冰雪奇缘2,-1,45,241,,
227321,黑衣人：全球追缉,-1,15,1688,29,-1
235701,大侦探皮卡丘,-1,16,1275,6,1
247677,地狱男爵：血皇后崛起,-1,8,1541,14,2
