movieId,movieTitle,RatingFinal,Usercount,AttitudeCount,TotalBoxOffice(Unit:万),EndDate,ShowDays
87876,雷霆沙赞！,6.9,1204,2317,22300.0,2019-04-09 19:15,5
190574,驯龙高手3,7.5,1070,2318,36600.0,2019-04-09 19:15,40
132277,海王,8,6073,4746,200799.99999999997,2019-04-09 15:54,0
