movieId,movieTitle,RatingFinal,Usercount,AttitudeCount,TotalBoxOffice(Unit:万),EndDate,ShowDays
247086,虫林大作战,0,0,32,,,
260287,远去的牧歌,-1,7,22,,,
229710,神奇乐园历险记,0,0,406,,,
