movieId,movieTitle,RatingFinal,Usercount,AttitudeCount,TotalBoxOffice(Unit:万),EndDate
259876,过春天,8,238,312,991.1,2019-04-09 18:50
28995,冰川时代：融冰之灾,7.7,9986,885,4140.0,2016-02-23 17:44
156682,荒野猎人,8,6904,6625,37700.0,2017-03-17 16:20
98283,麦兜响当当,7.2,10346,3524,7600.0,2016-02-23 17:44
220274,美国行动,7.5,660,194,,
220740,九条命,6.9,7752,1943,11200.000000000002,2018-12-14 23:55
215177,圆梦巨人,7,2117,2477,14300.0,2017-10-13 05:15
12369,亚当斯一家,8,733,519,,
28019,女巫,8,58,229,,
229919,希斯特斯兄弟,7.4,117,60,,
24138,疯狂的麦克斯：狂暴之路,8.1,5776,2085,,
226992,碟中谍6：全面瓦解,7.8,4606,7251,124300.0,2019-04-09 15:54
238552,红犬：真爱启程,-1,2,4,,
